Name,Category,Safety statement,Classification 1,Classification 2,Classification 3
fosfomycin trometamol,B2,,Antimicrobials,Antibiotics,
fosinopril,D,"When taken during the second and third trimesters, ACE inhibitors cause a range of abnormalities including renal dysfunction and oligohydramnios. These can be associated with fetal death in utero. Although no adverse fetal effects have been linked to first trimester drug use of ACE inhibitors, the number of exposures reported is too small to determine conclusively that ACE inhibitors are safe in the first trimester.  Pregnant women who are taking ACE inhibitors should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure.  It is generally advisable not to use ACE inhibitors for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors
fostemsavir,B3,,Antimicrobials,Antiviral agents,
fotemustine,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Alkylating agents,
framycetin,D,"There is evidence of selective uptake of aminoglycosides by the fetal kidney resulting in damage (probably reversible) to immature nephrons. Eighth cranial nerve damage has also been reported following in utero exposure to some of the aminoglycosides. Because of their chemical similarity, all aminoglycosides must be considered potentially nephrotoxic and ototoxic to the fetus. It should also be noted that therapeutic blood concentrations in the mother do not equate with safety for the fetus.",Antimicrobials,Antibiotics,Aminoglycosides
fremanezumab,B1,,Central Nervous System,,
frusemide (furosemide),C,"Thiazides, related diuretics and loop diuretics may cause electrolyte disturbances in the fetus. Neonatal thrombocytopenia has been reported with thiazides and related diuretics. Loop diuretics, like frusemide and bumetanide, are probably also associated with this risk. During the latter part of pregnancy products of this type should only be given on sound indications, and then in the lowest effective dose.",Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics"
fulvestrant,D,This drug is teratogenic in rats. It may cause fetal harm when administered to a pregnant woman.,Antineoplastic Agents,Hormonal antineoplastic agents,
furosemide,C,"Thiazides, related diuretics and loop diuretics may cause electrolyte disturbances in the fetus. Neonatal thrombocytopenia has been reported with thiazides and related diuretics. Loop diuretics, like frusemide and bumetanide, are probably also associated with this risk. During the latter part of pregnancy products of this type should only be given on sound indications, and then in the lowest effective dose.",Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics"
fusidic acid,C,This drug may cause kernicterus in babies during the first month of life by displacing bilirubin from plasma albumin. Fusidic acid should be avoided if possible during the last month of pregnancy.,Antimicrobials,Antibiotics,
FVIII inhibitor bypassing fraction,B2,,Cardiovascular System,Haemostatic agents,
gabapentin,D,"Compared to conventional anticonvulsants, the extent of the risk of this drug is unknown.",Central Nervous System,Anticonvulsants/antiepileptics,
gadobenate,B3,,Diagnostic Agents,Radiographic agents,
gadobutrol,B3,,Diagnostic Agents,,
gadodiamide,B3,,Diagnostic Agents,Radiographic agents,
gadofosveset,B3,,Diagnostic Agents,Radiographic agents,
gadopentetate dimeglumine,B2,,Diagnostic Agents,Radiographic agents,
gadoteridol,B3,,Diagnostic Agents,Radiographic agents,
gadoversetamide,B3,,Diagnostic Agents,Radiographic agents,
gadoxetate,B3,,Diagnostic Agents,Radiographic agents,
galactose with palmitic acid,B2,,Diagnostic Agents,Radiographic agents,
galantamine,B1,,Cholinergic and Anticholinergic Agents,,
galcanezumab,B1,,Central Nervous System,,
gallamine,C,There have been no demonstrated adverse effects in the fetus or the newborn infant.,Drugs Used in Anaesthesia,Neuromuscular blocking agents,
galsulfase,B3,,Metabolism,Agents used for the treatment of metabolic disorders,
ganciclovir,D,Ganciclovir has been shown to be teratogenic and embryotoxic in animals.,Antimicrobials,Antiviral agents,
ganirelix,D,There is a theoretical risk of abortion if gonadotrophin releasing hormone antagonists are used during pregnancy.,Endocrine System,Pituitary inhibitors,
garadacimab,B1,,Blood and Haemopoietic System,,
gatifloxacin,B3,,Antimicrobials,Antibiotics,Quinolones
gefitinib,C,This drug inhibits EGFR. EGFR plays an important role in embryofetal development.,Antineoplastic Agents,Tyrosine kinase inhibitors,
gemcitabine,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
gemeprost,B3,,Genitourinary System,Agents acting on the uterus,
gemfibrozil,B3,The physiological hyperlipidaemia of pregnancy does not require treatment.,Cardiovascular System,Hypolipidaemic agents,
gemtuzumab ozogamicin,D,Gemtuzumab ozogamicin may cause embryofetal lethality and malformations based on findings in anmials,Antineoplastic Agents,Monoclonal antibodies,
gentamicin,D,"There is evidence of selective uptake of aminoglycosides by the fetal kidney resulting in damage (probably reversible) to immature nephrons. Eighth cranial nerve damage has also been reported following in utero exposure to some of the aminoglycosides. Because of their chemical similarity, all aminoglycosides must be considered potentially nephrotoxic and ototoxic to the fetus. It should also be noted that therapeutic blood concentrations in the mother do not equate with safety for the fetus.",Antimicrobials,Antibiotics,Aminoglycosides
gestoden,B3,"If taken by the mother at or after 8 weeks post conception, these drugs can cause virilisation of the female fetus. This is a dose-dependent effect. Prior to 8 weeks post conception, they have no virilising effects.",Endocrine System,Progestogens (see also oral contraceptives),
gestrinone,D,This drug may interfere with pregnancy and in animal tests caused masculinisation of female fetuses. Gestrinone may not inhibit ovulation in all women.,Endocrine System,Pituitary inhibitors,
givosiran,B3,,Alimentary System,,
glatiramer,B1,,Allergy and Immune System,Immunomodifiers,
glecaprevir / pibrentasvir,B1,,Antimicrobials,Antiviral agents,
glibenclamide,C,Sulphonylureas may enter the fetal circulation and may cause neonatal hypoglycaemia.,Endocrine System,Hypoglycaemic agents,
glibenclamide / metformin,C,Sulphonylureas may enter the fetal circulation and may cause neonatal hypoglycaemia.,Endocrine System,Hypoglycaemic agents,
gliclazide,C,Sulphonylureas may enter the fetal circulation and may cause neonatal hypoglycaemia.,Endocrine System,Hypoglycaemic agents,
glimepiride,C,Sulphonylureas may enter the fetal circulation and may cause neonatal hypoglycaemia.,Endocrine System,Hypoglycaemic agents,
glipizide,C,Sulphonylureas may enter the fetal circulation and may cause neonatal hypoglycaemia.,Endocrine System,Hypoglycaemic agents,
glofitamab,C,"Based on its mechanism of action, glofitamab is likely to cause fetal B-cell depletion when administered to a pregnant woman, posing a risk of opportunistic infections in the neonate. Glofitamab-induced cytokine release may also pose a risk for embryofetal loss.",Antineoplastic Agents,Monoclonal antibodies,
glucagon,B3,,"Detoxifying Agents, Antidotes ",,
glyceryl trinitrate,B2,,Cardiovascular System,Antiangina agents,
glyceryl trinitrate,B2,,Cardiovascular System,Vasodilators,
glycopyrronium bromide,B2,,Alimentary System,Antispasmodics,
glycopyrronium bromide,B2,,Cholinergic and Anticholinergic Agents,,
glycopyrronium bromide,B3,,Respiratory System,Inhalational agents,Bronchospasm relaxants
glycopyrronium bromide / formoterol fumarate,B3,,Respiratory System,Inhalational agents,
golimumab ,C,IgG antibodies are known to cross the placental barrier. This drug has the potential to affect embryofetal survival due to its pharmacological action.,Allergy and immune System,Immunomodifiers,
gonadotrophin - human chorionic ,A,,Endocrine System,Ovulation inducers,Gonadotrophins
gonadotrophin - human menopausal ,C,,Endocrine System,Ovulation inducers,Gonadotrophins
goserelin,D,There is a theoretical risk of abortion or fetal abnormality if GnRH agonists are used during pregnancy.,Antineoplastic Agents,Hormonal antineoplastic agents,
goserelin,D,There is a theoretical risk of abortion or fetal abnormality if GnRH agonists are used during pregnancy. ,Endocrine System,Pituitary hormones,
granisetron,B1,,Central Nervous System,"Antiemetics, antinauseants",
griseofulvin,D,,Antimicrobials,Antifungal agents (see also topical antifungals),
guaifenesin,A,,Respiratory System,Expectorants and mucolytics,
guanethidine,A,,Cardiovascular System,Antihypertensives,
guanfacine hydrochloride,B3,,Central Nervous System,,
guselkumab,B1,,Allergy and Immune System,Immunomodifiers,
Haemophilus influenzae type b conjugate vaccine,B2,,Vaccines,Subunit vaccines,Polysaccharide conjugate vaccines
Haemophilus influenzae type b-meningococcal group C conjugate vaccine,B2,,Vaccines,Subunit vaccines,Polysaccharide conjugate vaccines
halcinonide,A,,Endocrine System,Corticosteroids,Topical
haloperidol,C,"When given in high doses during late pregnancy, butyrophenones may cause prolonged neurological disturbances in the newborn infant.",Central Nervous System,Antipsychotic drugs,Butyrophenones
halothane,A,"All general anaesthetics carry the potential to produce central nervous system and respiratory depression in the newborn infant. In routine practice this does not appear to be a problem. However, in the compromised fetus, careful consideration should be given to this potential depression and to the selection of particular anaesthetic drugs, doses and techniques.",Drugs Used in Anaesthesia,General anaesthetics,
heparin,C,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
hepatitis A vaccine,B2,,Vaccines,Inactivated vaccines,
hepatitis B vaccine,B2,,Vaccines,Subunit vaccines,Recombinant protein vaccines
homatropine,B2,,Ophthalmic Drugs,,
house dust mite allergen extract,B2,,Allergy and Immune System,,
human papillomavirus vaccine,B2,,Vaccines,Subunit vaccines,Recombinant protein vaccines
hydralazine,C,"Following intravenous administration, hydralazine has been associated with fetal distress and fetal arrhythmia in the last trimester of pregnancy.",Cardiovascular System,Antihypertensives,
hydrochlorothiazide,C,"Thiazides, related diuretics and loop diuretics may cause electrolyte disturbances in the fetus. Neonatal thrombocytopenia has been reported with thiazides and related diuretics. Loop diuretics, like frusemide and bumetanide, are probably also associated with this risk. During the latter part of pregnancy products of this type should only be given on sound indications, and then in the lowest effective dose.",Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics"
